Sports & Leisure: What New York Yankees captain died when he crashed his plane short of the runway?|Thurman Munson
World: What Victor Hugo novel does "The Simpsons" pay tribute to by giving prisoners the number 24601?|Les Miserables
World: What kind of tails did a gang of aborigines freeze, use to attack three police officers, and then eat?|Kangaroo tails
History: What did Donald Trump rename the yacht "Nabila" that he bought for $29 million in 1987?|The Trump Princess
Sports & Leisure: What Cincinnati Reds catcher could hold seven baseballs in his giant paw?|Johnny Bench
Science & Nature: What did Steven Hawking say could be formed by something other than the collapse of a star?|Black holes
Arts & Entertainment: What's the most famous five-word phrase uttered by Clint Eastwood in the movie "Sudden Impact"?|Go ahead, make my day
History: Who became South Dakota's first Democratic senator in 26 years by a margin of 597 votes in 1962?|George McGovern
World: What hit saw the U.S. Navy bill moviemakers $1.1 million for "technical services"?|Top Gun
Science & Nature: Who was the first president to wear false teeth?|George Washington
People & Places: What department store chain established it's headquarters in the Sears Tower?|Sears, Roebuck and Co.
Arts & Entertainment: What black star noted: "I'm funny without drugs. I don't have to sniff cocaine to be funny"?|Eddie Murphy
Sports & Leisure: What player donned a Baltimore Orioles uniform for a major league record of 23 years?|Brooks Robinson
Sports & Leisure: What Olympic ice racer took a victory lap with a U.S. flag in one hand and his daughter Jane in the other?|Dan Jansen
History: What did George Armstrong Custer accidentally shoot and kill while hunting buffalo?|His horse
World: What four-word farewell of the 1950s was inspired by a many-toothed reptile?|See you later, alligator
World: What subway vigilante took exception to being asked for $5 on January 25, 1985?|Bernhard Goetz
People & Places: What city did Michelangelo do "David" in?|Florence
World: What well-known politician was a college roommate of Tommy Lee Jones?|Al Gore
Arts & Entertainment: What movie put Eddie Murphy on the cover of "Newsweek" as "Mr. Box Office" when he was 23?|Beverly Hills Cop
Sports & Leisure: What city's vendors sell the most teddy bears made in one of their favorite baseballer's image?|Minneapolis
History: What infamous six words came back to haunt George Bush in his 1992 presidential campaign?|Read my lips, no new taxes
World: What "Married ... with Children" star's bra was stolen from Frederick's of Hollywood in L.A. rioting?|Katey Sagal's
People & Places: What phrase did Abraham Lincoln use instead of "87 years" in his Gettysburg Address?|Four score and seven years
World: What TV and radio host never enters the studio without his suspenders?|Larry King
People & Places: What playwright did Muammar Qaddafi insist was "of Arab origin" in 1989?|William Shakespeare
History: What did the Soviets send up into space on the 40th anniversary of the day the communists seized power?|Sputnik I
People & Places: What country cancelled its May Day parade in 1994 for the first time since 1959, due to lack of money?|Cuba
Arts & Entertainment: What five words end Charles Dicken's most famous Christmas story?|God bless us every one
People & Places: What 'state' boasts the largest church in Christendom?"|Vatican City
History: Which of Cleopatra's husbands killed himself by falling on his sword?|Marc Antony
World: Who said: "I was the first woman to burn my bra. It took the fire department four days to put it out"?|Dolly Parton
Science & Nature: Which finger of the throwing hand is subject to a painful syndrome called "Frisbee finger"?|The middle finger
Science & Nature: What Michigan doctor lead the fight for medicide, or physician-assisted suicide?|Jack Kevorkian
Arts & Entertainment: What renowned reference work did Lon Chaney write an entry on makeup for?|Encyclopaedia Britannica
History: What White House aide's shredding machine jammed on November 21, 1986?|Oliver North's
People & Places: Whose Atlantic City hotel-casino is three times the size of the Taj Mahal, it's East Indian namesake?|Donald Trump's
Sports & Leisure: Who won the only two U.S. Open singles titles not won by Chris Evert from 1975 through 1982?|Tracy Austin
Arts & Entertainment: What do most people call "Waltz Number 314" by Johann Strauss Jr.?|Blue Danube
Sports & Leisure: Who batted .373 with 47 home runs and 175 RBI the year Babe Ruth hit 60 homers?|Lou Gehrig
Sports & Leisure: What baseball owner was right in assuming midget Eddie Gaedel would walk as a pinch hitter in 1951?|Bill Veeck
World: What 73-year-old trapeze artist fell to his death in 1978?|Karl Wallenda
History: What was the last hotel Robert Kennedy was in before riding to his final resting place?|The Ambassador
Sports & Leisure: What hockey star was ribbed as "The Yellow One" because of his aversion to flying?|Wayne Gretzky
Science & Nature: Where are two Russian vehicles, auctioned at Sotheby's in 1993 for $68,500, currently parked?|On the moon
Sports & Leisure: What Phillies first baseman correctly noted: "I'm not an athlete, I'm a baseball player"?|John Kruk
Science & Nature: What whale was prized for the 15 barrels of high-quality oil found behind its forehead?|The sperm whale
People & Places: What Virginia county's courthouse was the site of Lee's surrender to Grant?|Appomattox County's
World: How many seasons did Johnny Carson host "The Tonight Show"?|Thirty
Sports & Leisure: Who's the only man to win the Masters, British Open, U.S. Open, PGA and U.S. Amateur at least twice?|Jack Nicklaus
Arts & Entertainment: What blonde strutted as a Playboy Club waitress before singing lead vocals on four No. 1 hits?|Deborah Harry
History: USA President Jimmy Carter, brought together Anwar Sadat and who else at the Camp David peace negotiations?|Menachem Begin
History: What president nearly fell out of the Wright brothers' plane while waving to a crowd?|Theodore Roosevelt
Science & Nature: What helpful aid did the mother of 'Monkee' Mike Nesmith invent for typists the world over?|Liquid Paper Correction Fluid
Sports & Leisure: Who became the first black member of the Milwaukee Braves, in 1954?|Hank Aaron
Sports & Leisure: Who broke baseball's color barrier, inking a contract and starting at first base in 1947?|Jackie Robinson
People & Places: What mountain do Tibetans call Chomo-Lungma, or Mother Goddess of the Land?|Mount Everest
Arts & Entertainment: What children's book introduced the cat that wears a 'Cheshire grin'?|Alice's Adventures in Wonderland
Sports & Leisure: What hand can a realistic poker player expect to be dealt once every 649,740 hands?|A royal flush
People & Places: Who was the first woman ever to cross the Atlantic Ocean by airplane?|Amellia Earhart
Arts & Entertainment: Who got laughs opposite Eddie Murphy in the role of Detective Billy Rosewood?|Judge Reinhold
Sports & Leisure: What baseballer teamed with Babe Ruth to form "the greatest 1-2 punch the sport has ever known"?|Lou Gehrig
World: What book did King James authorize the first English publication of?|The Bible
History: Who's the only 20th-century USA president that had earned no undergraduate degree?|Harry Truman
People & Places: What hill in Athens boasts the Parthenon and other temples?|The Acropolis
Sports & Leisure: What pro figure skater did a Pittsburgh Steelers star marry in 1976?|Jo Jo Starbuck
World: What profession did former First Lady, Nancy Reagan, say was "good training for the political life which lay ahead"?|Acting
World: What replacement did station KFBK rush to hire after letting Morton Downey Jr. go in 1984?|Rush Limbaugh
Sports & Leisure: What major league baseball team shares it's name with young bears?|The Chicago Cubs
History: What three-word line of General MacArthur's appear on countless items dropped over the Philippines?|I shall return
World: What Hungarian name was given to 37 pet pooches registered in Los Angeles County by 1991?|Zsa Zsa
History: What five-word plea by Rodney King made the cover of "Time" after the 1992 Los Angeles riots took place?|Can't we all get along?
History: What U.S. general died in a Heidelberg hospital of lung congestion after a freak car accident?|George Patton
World: What Hindu god is said to have appeared on Earth as Rama, Krishna and Buddha?|Vishnu
World: What president adorns the double sawbuck?|Andrew Jackson
Arts & Entertainment: What 1987 movie earned Cher her first best actress Oscar?|Moonstruck
Sports & Leisure: What metal is an Olympic gold medal mostly made of?|Silver
People & Places: Who flew the Concord to sing in both the London and Philadelphia parts of Live Aid on the same day?|Phil Collins
Sports & Leisure: Whose bare feet did 3,000-meter runner Mary Decker trip over at the 1984 Olympics?|Zola Budd's
Science & Nature: What comet was named for the man who predicted it would return in 1758?|Halley's comet
People & Places: What modern-day city was renamed Leningrad when a famous Bolshevik died?|St. Petersburg
History: What memorable line did John Paul Jones allegedly utter during a sea battle with the British?|I have not yet begun to fight
People & Places: Who left his heart in San Francisco in a 1962 classic song?|Tony Bennett
